id,date,time,timezone,tweet,replies_count,retweets_count,likes_count,hashtags,retweet
1267749338505261057,2020-06-02,11:26:10,CEST,"#___
#
#blacklivesdontmatter #BlackLivesMatter #Minnesota #minneapolisriots #WashingtonDC #WashingtonDCProtest #USA
#AmericaOrTrump
#COVID19
#_3_
#Graduation2020
#graduation_students_lives_matter
#Egypt
#_
@AlsisiOfficial",0,0,0,"['#___', '#', '#blacklivesdontmatter', '#blacklivesmatter', '#minnesota', '#minneapolisriots', '#washingtondc', '#washingtondcprotest', '#usa', '#americaortrump', '#covid19', '#_3_', '#graduation2020', '#graduation_students_lives_matter', '#egypt', '#_']",False
1267749336307437569,2020-06-02,11:26:10,CEST,#AmericaOrTrump,0,0,0,['#americaortrump'],False
1267749325448282114,2020-06-02,11:26:07,CEST,Beyaz saray nnde elinde ncil ve bir bakan... bana bir yerden tandk geldi bu fotoraf #AmericaOrTrump  pic.twitter.com/I8cJoWhhvR,0,0,0,['#americaortrump'],False
1267749318234169350,2020-06-02,11:26:05,CEST,"#BlackLivesMatter
@RailaOdinga
@USEmbassyKenya
#protest2020
#AmericaOrTrump  pic.twitter.com/eMaEbSxUfo",0,1,1,"['#blacklivesmatter', '#protest2020', '#americaortrump']",False
1267749306251071488,2020-06-02,11:26:02,CEST,"#AmericaOrTrump
#ABDYANIYOR #AbdYanyor pic.twitter.com/OoTjf0SwXH",0,0,2,"['#americaortrump', '#abdyaniyor', '#abdyanyor']",False
1267749304850145280,2020-06-02,11:26:02,CEST,"SHAME on you @realDonaldTrump using *religion* as a tool to endorse state-sponsored violence. YOU are the terrorist, the coward, the hater, fake. YOU are responsible. #AmericaOrTrump #BlackLivesMatter #GeorgeFloyd #PeaceOut",0,0,1,"['#americaortrump', '#blacklivesmatter', '#georgefloyd', '#peaceout']",False
1267749297031909379,2020-06-02,11:26:00,CEST,"Now india and America is going to get civial war .America has worst condition... America is no more superpower
#AmercaIsNoMoreSuperPower
#AmericaOrTrump #DictatorTrump
#Trump #TrumpDeathToll100K #KashmirBleeds #Pakistan #USAonFire #CIA #tuesdayvibes #India #BlackLivesMatter pic.twitter.com/KZZIc8hXvm",0,1,5,"['#amercaisnomoresuperpower', '#americaortrump', '#dictatortrump', '#trump', '#trumpdeathtoll100k', '#kashmirbleeds', '#pakistan', '#usaonfire', '#cia', '#tuesdayvibes', '#india', '#blacklivesmatter']",False
1267749294356025345,2020-06-02,11:26:00,CEST,"Ne demiti Reis @RTErdogan  2016 da...

BUGN BZ YAKAN  ATE YARIN DA SZ YAKACAK 
 EY AMERKA.....
EY BATI....

BESLE KARGAYI OYSUN GZN EYYYYY AMERKA.

#AmericaOrTrump
#Trump pic.twitter.com/YccKI1GkGu",0,6,10,"['#americaortrump', '#trump']",False
1267749283471769600,2020-06-02,11:25:57,CEST,"we should be aggressively in solidarity with our own in the states right now,they marched and voiced for us,we should do the same,I'm emotional and angry!! Our people are being slaughtered daily!! To what end? 
#BlackLivesMatter
#AmericaOrTrump
#protests2020
#LockdownSA",0,0,0,"['#blacklivesmatter', '#americaortrump', '#protests2020', '#lockdownsa']",False
1267749274135285760,2020-06-02,11:25:55,CEST,#AmericaOrTrump #TrumpIncitesViolence #DumpTrump2020 #BlackLivesMatter https://twitter.com/mrbenwexler/status/1267593286463582208,0,0,0,"['#americaortrump', '#trumpincitesviolence', '#dumptrump2020', '#blacklivesmatter']",False
1267749271400353800,2020-06-02,11:25:54,CEST,Im soooo privileged but damn this isnt the country my father wanted me to inherit!! We ALL need to stand up and DO something. #AbolishThePolice #AbolishICE #AmericaOrTrump #BlackLivesMatter #GeorgeFloyd #NoJusticeNoPeace #protests2020 #ResignTrump,0,1,0,"['#abolishthepolice', '#abolishice', '#americaortrump', '#blacklivesmatter', '#georgefloyd', '#nojusticenopeace', '#protests2020', '#resigntrump']",False
1267749267466321923,2020-06-02,11:25:53,CEST,#AmericaOrTrump #bunkerbabytrump #TrumpIncitesViolence pic.twitter.com/54EVQIM0xg,0,0,0,"['#americaortrump', '#bunkerbabytrump', '#trumpincitesviolence']",False
1267749266744922113,2020-06-02,11:25:53,CEST,Make #SonOfTheKlan trend. @realDonaldTrump will love the shout out to his heritage. #AmericaOrTrump,0,0,0,"['#sonoftheklan', '#americaortrump']",False
1267749262961582081,2020-06-02,11:25:52,CEST,"Allahu Akbar 
 Reat in peace #GeorgeFloyd
#BlackLivesMatter #policebrutalityke #AmericaOrTrump
 pic.twitter.com/ChTS7wvqoR",0,0,2,"['#georgefloyd', '#blacklivesmatter', '#policebrutalityke', '#americaortrump']",False
1267749262777028609,2020-06-02,11:25:52,CEST,"                      #_           ..

#AmericaOrTrump",1,0,0,"['#_', '#americaortrump']",False
1267749258314252289,2020-06-02,11:25:51,CEST,"Ask your husband @realDonaldTrump to stop inciting violence, then maybe it will stop; however, this country will not have peace until hes out of office! Hes the Devil in sheeps clothing #AmericaOrTrump #TrumpIncitesViolence #TrumpDictatorship",0,0,0,"['#americaortrump', '#trumpincitesviolence', '#trumpdictatorship']",False
1267749248424173569,2020-06-02,11:25:49,CEST,"What's happening in USA? Why such Riots are going on there and getting ugly day by day... 

Hit the link, and watch it
 https://youtu.be/SNKqUyIr6bE
#ByeByeIndiaOnlyBharat
#FatherOfModernTamilnadu
#AmericaOrTrump  pic.twitter.com/j033njyWi3 pic.twitter.com/9wu44Pldcd",0,5,3,"['#byebyeindiaonlybharat', '#fatherofmoderntamilnadu', '#americaortrump']",False
1267749241130291201,2020-06-02,11:25:47,CEST,@YourAnonCentral can you pleeeeeease do the world a favour and hack @KTHopkins twitter account. Pleeeease!!! Expose all her shit!!! Pleeeeeaase #AmericaOrTrump #Anomymous #seattleprotests #bunkerbabytrump #BlackLifesMatters,0,0,0,"['#americaortrump', '#anomymous', '#seattleprotests', '#bunkerbabytrump', '#blacklifesmatters']",False
1267749240970842113,2020-06-02,11:25:47,CEST,Attualmente il miglior inviato da NewYork  Piero Armenti. @ilmioviaggioany #AmericaOrTrump #BlakeLivesMatter,0,0,0,"['#americaortrump', '#blakelivesmatter']",False
1267749229772115969,2020-06-02,11:25:44,CEST,"#DictatorTrump #AmericaOrTrump . George Floyd death: Police officers fired for dragging students from car during Atlanta protest
 http://news.sky.com/story/george-floyd-death-us-officers-fired-for-dragging-students-from-car-during-atlanta-protest-11998916 pic.twitter.com/sEHz903323",0,2,1,"['#dictatortrump', '#americaortrump']",False
